"Campaign Name","Business Objective","Target Audience","Key Message","Channels","Budget","Timeline","Success Metrics","Constraints / Brand Notes"
"DevForge Live - Upsell Wave","Upsell 4,290 customers to a higher tier","Past attendees of last 2 editions, Singapore (EU coverage)","Unlock advanced capabilities built for power users.","Organic Social, Email, PR, Paid Social (LinkedIn), Webinar","$7,500 excl. production","Jun 19, 2026 - 4 week flight","ARPU lift: baseline $47, target +11.7%, within 90 days post-launch.","Adhere to brand voice guidelines v3.2; primary palette only. Landing page must load under 2.5s on 4G."
"Truecover Q4 2026 - Launch #2","Acquire 29,302 new users within the launch window","Auto policyholders approaching renewal, aged 21-44, UK","Meet AssureFirst: everything you loved, reimagined.","Paid Search, Email","$275,000","Nov 19, 2026 - 2 week flight","New sign-ups: target 8,409 over the campaign flight; CPA <= $127.","All quotes must include 'subject to underwriting' language. UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Tone: confident, helpful, never alarmist."
"Pixie Pantry DACH - Trial Conversion Push","Convert 13,291 active trial users to paid plans","VIP tier customers (top 10% LTV), Australia","Your trial ends soon. Unlock the full BoxBloom experience.","Email, Paid Search, Paid Social (Meta), SMS","$360,000 total","Feb 12, 2026 - 3 week flight","ROAS target 7.0","Adhere to brand voice guidelines v3.2; primary palette only."
"EmberKitchen Q2 2026 - App Adoption","Lift weekly active users by 42%","Households with income $75K+ in Brazil suburbs","Faster, easier, in-app exclusive perks.","Connected TV, Influencer, Display","$420,000 excl. production","next quarter","Baseline 2.0%, improve over time","No major restrictions noted."
"Lumio Wallet Tax Season - Renewal Drive #2","Achieve 89% gross renewal rate","Active app users with 30+ day inactivity, Mexico (EU coverage)","Renew today and lock in your current rate.","social","$215,000","by end of fiscal year","ROAS target 7.3","Required disclosures on rates, fees, and partner bank relationship. DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval."
"Apex Legal Q2 2026 - Awareness","Reach 8,365,731 unique impressions in target segment","HR leaders at companies with 500-5000 employees, Australia (EU coverage)","The brand professionals trust.","PR, Content Syndication","To be confirmed by CMO","Sep 1, 2026 - 2 week flight","Conversion rate target 7.7%","UK/EU: lawful basis must be documented; suppress contacts without marketing consent."
"PageNest - Trial Conversion Push","Convert 3,468 active trial users to paid plans","Annual plan subscribers approaching renewal, APAC","Your trial ends soon. Unlock the full Lumen+ experience.","In-app, Paid Social (Meta), Influencer","$300,000 excl. production","Apr 11, 2026 - 10 week flight","Trial-to-paid conversion: baseline 2.6%, target 17.6%, by end of quarter.","Subject lines under 50 characters; no emojis in B2B sends."
"AssureFirst Q3 2026 - Lead Gen","Generate 487 MQLs at CPL under $81","Auto policyholders approaching renewal, aged 21-34, Nordics","Get the playbook trusted by 500+ teams.","Display, Direct Mail, Radio, Email, Paid Search","$565,000 incl. agency fees","Mar 28, 2027 - 6 week flight","SQL conversion: baseline 1.2%, target 13.5%, over the campaign flight.","State-specific disclosures required; suppress non-licensed states."
"Lumen Home Q4 2026 - Seasonal Promo","Drive $3,832,015 in incremental revenue during the promo window","Households with income $75K+ in APAC suburbs (EU coverage)","Limited time: save big this Black Friday.","SMS, Connected TV, Email, OOH","$45,000 (media only)","Apr 2, 2027 - 2 week flight","Incremental revenue: target $1,689,785, ROAS >= 2.5, over 60 days.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Margin floor 35%; exclude clearance SKUs from promotion. Localization required for non-English markets; transcreation, not direct translation."
"Beacon Life Open Enrollment - Launch","Increase engagement and pipeline","young professionals","Introducing the next generation of Beacon Life - faster, smarter, built for your team.","performance marketing","Per-channel budget missing","before holiday season","Lift engagement","All quotes must include 'subject to underwriting' language. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Localization required for non-English markets; transcreation, not direct translation."
"SafeHarbor Insurance Q3 2026 - Lead Gen","Generate 9,318 MQLs at CPL under $227","Auto policyholders approaching renewal, aged 35-64, US","Find out what Truecover can do for your business.","Radio, Email","$610,000 total","Jun 20, 2027 - 10 week flight","Reduce CPA","State-specific disclosures required; suppress non-licensed states. Hero creative must feature flagship product, not bundled SKUs."
"Pixie Pantry 2027 - Seasonal Promo","Drive $3,121,270 in incremental revenue during the promo window","Cart abandoners in last 30 days, APAC","Limited time: save big this Open Enrollment.","Paid Social (Meta), Push Notifications","$360,000 total","May 8, 2026 - 6 week flight","Incremental revenue: target $1,829,825, ROAS >= 2.1, over the campaign flight.","Suppress recent purchasers (last 14 days) to prevent post-purchase discount cannibalization. Localization required for non-English markets; transcreation, not direct translation."
"ClearWave Q1 2026 - Cross-sell Drive","Build awareness and momentum","Prepaid customers aged 45-44 with 6+ months tenure, France","Bundle and save - smarter together.","email and ads","$550,000 (media only)","post-launch window","Attach rate: baseline 2.6%, target 15.3%, over the campaign flight.","Localization required for non-English markets; transcreation, not direct translation. Subject lines under 50 characters; no emojis in B2B sends."
"Maple & Oak v6 - Lead Gen","Generate 10,802 MQLs at CPL under $33","Households with income $75K+ in Germany suburbs","Get the playbook trusted by 500+ teams.","social","$140,000","Jan 15, 2026 - 4 week flight","MQLs: target 8,076, CPL <= $109, measured over 30 days.","Margin floor 35%; exclude clearance SKUs from promotion. Hero creative must feature flagship product, not bundled SKUs."
"Truecover 2026 - Renewal Drive","Achieve 87% gross renewal rate","millennials","Don't lose access - renew before Mar 2.","digital","Pending finance approval","Aug 13, 2026 - 2 week flight","Conversion rate target 6.5%","All quotes must include 'subject to underwriting' language. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. All copy must use inclusive language per brand DEI guidelines."
"MediBridge Q4 2027 - Retention Sprint","Improve 90-day retention by 30 percentage points","Caregivers aged 40-65 of aging parents, Nordics","Here's what's new, just for you.","social","$395,000","soon","Monthly churn: baseline 1.2%, target 0.7%, within 90 days post-launch.","All medical claims must be reviewed by Medical Legal Review (MLR) before launch. Landing page must load under 2.5s on 4G."
"MarketRise - Seasonal Promo #2","Lift conversion rate by 5% vs. prior season baseline","VIP tier customers (top 10% LTV), Germany (EU coverage)","Limited time: save big this Back-to-School.","Paid Search, Affiliate, Display, Paid Social (Meta)","$57,000","Aug 12, 2026 - 4 week flight","Incremental revenue: target $588,500, ROAS >= 7.3, over 30 days.","UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Do not run alongside sitewide free-shipping promo without finance sign-off. Hero creative must feature flagship product, not bundled SKUs. No animated GIFs in email; static hero only."
"Voyage&Co 2026 - Awareness #3","Lift unaided brand awareness by 8 points","Business travelers aged 30-55, France","The brand professionals trust.","Email, Paid Search","$195,000 (media only)","Jul 21, 2026 - 2 week flight","Aided awareness lift: baseline 25%, target +11 pts, over 30 days.","Avoid stacking with seasonal sale; cap combined discount at agreed max."
"Orbit Connect 2027 - Win-Back #2","Win back 47,240 lapsed customers","Postpaid customers approaching contract end, APAC","Your spot is still here. Welcome back.","social and email","$190,000 incl. agency fees","May 26, 2027 - 4 week flight","ROAS target 3.5","Do not run alongside sitewide free-shipping promo without finance sign-off. Adhere to brand voice guidelines v3.2; primary palette only."
"CareNova APAC - Upsell Wave","Lift ARPU by 10% across the existing book of business","Patients overdue for annual wellness visit, Japan","Unlock advanced capabilities built for power users.","Direct Mail, PR, Paid Search, Email, Display","Pending finance approval","next quarter","ARPU lift: baseline $36, target +13.8%, within 90 days post-launch.","HIPAA compliance required; no PHI in creative or targeting data. All copy must use inclusive language per brand DEI guidelines. Landing page must load under 2.5s on 4G."
"Pinecrest Trust Summer - Cross-sell Drive","Attach a second product to 13% of single-product customers","enterprise customers","Bundle and save - smarter together.","Display, Direct Mail, Paid Search, Email","$510,000","Oct 2, 2027 - 6 week flight","Attach rate: baseline 2.0%, target 4.1%, by end of quarter.","No targeting on protected class attributes (ECOA/Reg B). UK/EU: lawful basis must be documented; suppress contacts without marketing consent. Do not reference unannounced roadmap items. Landing page must load under 2.5s on 4G."
"Forge Accounting 2026 - Renewal Drive","Achieve 88% gross renewal rate","General Counsel and CFOs at mid-market firms, Canada","Renew today and lock in your current rate.","paid media","$140,000 total","next quarter","Improve CTR vs. last campaign","No major restrictions noted."
"BoxBloom Nordics - Awareness","Reach 268,123 unique impressions in target segment","VIP tier customers (top 10% LTV), UK","Meet MarketRise - a smarter way to grow revenue.","online","$285,000 excl. production","rolling","Improve CTR vs. last campaign","Do not run alongside sitewide free-shipping promo without finance sign-off. Video assets capped at 15s for social, 30s for CTV."
"Sterling Federal - Renewal Drive","Renew 15,337 expiring contracts this cycle","Existing checking customers without a credit product, France","Renew today and lock in your current rate.","Display, Programmatic, Email, Direct Mail","$480,000 excl. production","soon","Gross renewal rate: baseline 81.7%, target 86.8%, by end of quarter.","Reg Z and UDAAP review required prior to launch. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days."
"NorthExpo 2027 - Event Reg Push","Hit 25% RSVP-to-attend conversion","Past attendees of last 2 editions, Canada","Save your seat at GrowthSummit.","Organic Social, Email, PR","$175,000 incl. agency fees","Oct 3, 2026 - 4 week flight","Registrations: target 10,177; show-up rate >= 68%; over 60 days.","Do not reference unannounced roadmap items."
"NorthExpo NA - Event Reg Push","Grow the business in the target segment","Speakers, sponsors, and partner network contacts, Brazil","GrowthSummit: where the industry connects.","paid media","Use available Q-end funds","Jun 26, 2026 - 12 week flight","Registrations: target 4,074; show-up rate >= 52%; over 30 days.","CEO and executive quotes require Comms approval."
"Truecover 2026 - Trial Conversion Push","Convert 1,805 active trial users to paid plans","existing users","Ready when you are: pick the plan that fits.","Direct Mail, Email, Display, Radio","$260,000 (media only)","Apr 18, 2026 - 6 week flight","Hit 4,114 sign-ups","No guaranteed-acceptance language without policy substantiation. Tone: confident, helpful, never alarmist."
"Sterling Federal EMEA - Loyalty Boost","Lift repeat purchase rate from 5% to 7%","Small business banking customers with <$5M annual revenue, India (EU coverage)","Status, perks, and points - on us.","Email, Programmatic, Paid Search, Display","$660,000 excl. production","Feb 5, 2027 - 3 week flight","Program enrollment: target +14.5% vs. baseline, over the campaign flight.","No targeting on protected class attributes (ECOA/Reg B). Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Subject lines under 50 characters; no emojis in B2B sends."
"Pinecrest Trust - Cross-sell Drive #2","Cross-sell 22,941 eligible customers","Existing checking customers without a credit product, APAC (EU coverage)","You already love BlueCrest Bank. Here's the perfect companion.","Display, Paid Search, Programmatic, Email","$435,000 total","May 22, 2026 - 8 week flight","Attach rate: baseline 1.1%, target 4.3%, over 60 days.","All offers must include APR/APY disclosures and FDIC member language. Mobile-first creative required; desktop is secondary."
"MintRail v9 - Renewal Drive","Renew 18,450 expiring contracts this cycle","Gig workers aged 21-70 in France tier-1 cities","Renew today and lock in your current rate.","Paid Social (Meta), Influencer, Push Notifications","$345,000","by end of fiscal year","Gross renewal rate: baseline 81.0%, target 86.9%, over 30 days.","All claims must be reviewed by Compliance and Legal before publication. DACH market: double opt-in for email; no purchased lists. Mobile-first creative required; desktop is secondary."
"NorthPeak MENA - App Adoption","Drive 416,083 new app installs","enterprise customers","Faster, easier, in-app exclusive perks.","email and ads","To be confirmed by CMO","May 1, 2026 - 8 week flight","ROAS target 7.7","Avoid overlap with concurrent storewide promo; suppress full-price loyalists from discount creative."
"Stratus ERP v7 - Seasonal Promo","Drive $748,528 in incremental revenue during the promo window","digital-first audience","Limited time: save big this Summer.","performance marketing","$94,000 incl. agency fees","Aug 12, 2026 - 6 week flight","Lift engagement","Use approved product photography only; lifestyle imagery requires brand review."
"LearnRise Academy Q2 2026 - Event Reg Push #2","Hit 15% RSVP-to-attend conversion","Course completers eligible for the next certification, Nordics (EU coverage)","RetailNext World: where the industry connects.","email and ads","$125,000 excl. production","Mar 10, 2026 - 2 week flight","ROAS target 3.9","Outcome claims (placement, salary) must include cohort source citation. Localization required for non-English markets; transcreation, not direct translation. Video assets capped at 15s for social, 30s for CTV."
"EmberKitchen - Win-Back","Reactivate 2% of customers dormant for 6+ months","lapsed buyers","We've missed you - here's 25% off your next order.","email and ads","$5,500","May 5, 2026 - 8 week flight","Hit 510 sign-ups","Follow brand guidelines."
"Glide Cruises Nordics - Renewal Drive","Renew 7,756 expiring contracts this cycle","prospects in target markets","Renew today and lock in your current rate.","performance marketing","$49,000 excl. production","Sep 6, 2027 - 10 week flight","Baseline 1.5%, improve over time","Follow brand guidelines."
"Anchor National - Trial Conversion Push #3","Increase trial-to-paid conversion from 4% to 9%","Mass-affluent customers aged 40-34 with $50K-$250K deposits, EMEA","Your trial ends soon. Unlock the full Pinecrest Trust experience.","Paid Search, Direct Mail, Email, Programmatic","To be confirmed by CMO","Oct 25, 2026 - 4 week flight","ROAS target 2.3","Reg Z and UDAAP review required prior to launch. CEO and executive quotes require Comms approval."
"RetailNext World v9 - Trial Conversion Push","Increase trial-to-paid conversion from 16% to 21%","Practitioners and decision-makers in target verticals, APAC","Your trial ends soon. Unlock the full GrowthSummit experience.","Paid Social (LinkedIn), Organic Social","$27,000 excl. production","Jan 18, 2026 - 3 week flight","Trial-to-paid conversion: baseline 3.2%, target 16.7%, over the campaign flight.","Use approved product photography only; lifestyle imagery requires brand review. Subject lines under 50 characters; no emojis in B2B sends."
"Anchor National v6 - Cross-sell Drive #2","Cross-sell 20,135 eligible customers","Existing checking customers without a credit product, EMEA (EU coverage)","You already love Anchor National. Here's the perfect companion.","Programmatic, Paid Search, Email, Display, Direct Mail","$670,000 (media only)","Mar 14, 2026 - 6 week flight","Reduce CPA","No targeting on protected class attributes (ECOA/Reg B). DACH market: double opt-in for email; no purchased lists. Mobile-first creative required; desktop is secondary."
"Skyloft Hotels - Trial Conversion Push","Convert 1,409 active trial users to paid plans","small business owners","Ready when you are: pick the plan that fits.","Paid Search, Display","Limited budget","Feb 18, 2026 - 6 week flight","Trial-to-paid conversion: baseline 1.6%, target 7.0%, over the campaign flight.","Avoid stacking with seasonal sale; cap combined discount at agreed max. Localization required for non-English markets; transcreation, not direct translation."
"Maple & Oak EU - Awareness","Grow the business in the target segment","Gen Z shoppers aged 18-26 in Benelux metros","Meet Coastline Apparel - a smarter way to scale faster.","social","$425,000 (media only)","Mar 14, 2026 - 10 week flight","Aided awareness lift: baseline 33%, target +5 pts, over the campaign flight.","Do not stack with member 20% offer; cap discount at 30% MSRP."
"Northstar Mutual Open Enrollment - Cross-sell Drive","Move the needle on conversions this quarter","Homeowners aged 35-65 without umbrella coverage, APAC","Bundle and save - smarter together.","Direct Mail, Email, Display, Radio","To be confirmed by CMO","this year","Hit 7,376 sign-ups","Follow brand guidelines."
"ScholarPath Holiday - Win-Back","Reactivate 13% of customers dormant for 6+ months","Course completers eligible for the next certification, France","Your spot is still here. Welcome back.","Webinar, YouTube","Not specified","Jun 23, 2026 - 2 week flight","Reactivation rate: baseline 2.1%, target 8.1%, over 60 days.","Title IV compliance review required for any financial-aid messaging. Hero creative must feature flagship product, not bundled SKUs."
"Glide Cruises NA - Event Reg Push","Move the needle on conversions this quarter","Loyalty members with 1+ booking in last 24 months, Mexico","Register now - early bird pricing ends soon.","Paid Social (Meta), Paid Search","Pending finance approval","Apr 19, 2026 - 2 week flight","Baseline 2.5%, improve over time","Suppress recently booked travelers to avoid post-purchase regret refunds. CEO and executive quotes require Comms approval."
"Helix Advisory Holiday - Cross-sell Drive","Build awareness and momentum","Founders of pre-Series A startups, Australia (EU coverage)","You already love Quanta Strategy. Here's the perfect companion.","Webinar, Email, PR, Content Syndication, Paid Social (LinkedIn)","$45,000 (media only)","Jun 13, 2027 - 4 week flight","Attach rate: baseline 2.1%, target 16.5%, over the campaign flight.","DACH market: double opt-in for email; no purchased lists. CEO and executive quotes require Comms approval. Landing page must load under 2.5s on 4G."
"BrightArc University 2026 - Awareness","Lift unaided brand awareness by 18 points","young professionals","LearnRise Academy: built for what's next.","Webinar, YouTube, Paid Search, Paid Social (Meta)","Use available Q-end funds","Mar 4, 2026 - 2 week flight","Lift engagement","Title IV compliance review required for any financial-aid messaging."
"Beacon Life LATAM - Launch","Drive 15% adoption of the new release among current customers","Small business owners without cyber liability, Singapore","Meet AssureFirst: everything you loved, reimagined.","Paid Search, Email, Radio, Direct Mail","$710,000 excl. production","Jan 24, 2027 - 6 week flight","New sign-ups: target 11,794 within 90 days post-launch; CPA <= $267.","State-specific disclosures required; suppress non-licensed states. Localization required for non-English markets; transcreation, not direct translation. Video assets capped at 15s for social, 30s for CTV."
"SyncSuite v4 - Cross-sell Drive","Cross-sell 7,792 eligible customers","VP/Director of Engineering at companies with 200-2000 employees in France","Bundle and save - smarter together.","Paid Search, Account-Based Marketing, Email, Content Syndication, Webinar","$195,000 total","rolling","Attach rate: baseline 2.4%, target 20.2%, over 60 days.","Tone: confident, helpful, never alarmist."
"AssureFirst Tax Season - Cross-sell Drive","Attach a second product to 8% of single-product customers","high-value customers","Bundle and save - smarter together.","social and email","TBD","by end of fiscal year","Reduce CPA","State-specific disclosures required; suppress non-licensed states. Hero creative must feature flagship product, not bundled SKUs. Landing page must load under 2.5s on 4G."
"BoxBloom 2026 - Lead Gen","Deliver 2,227 SQLs to the sales team","Cart abandoners in last 30 days, Benelux (EU coverage)","Find out what BoxBloom can do for your business.","Push Notifications, Display, SMS","$225,000 (media only)","Aug 14, 2027 - 8 week flight","MQLs: target 1,958, CPL <= $348, measured over the campaign flight.","DACH market: double opt-in for email; no purchased lists. Exclude high-AOV segments from blanket discounts. Maintain accessibility: WCAG 2.1 AA for all digital assets. Video assets capped at 15s for social, 30s for CTV."
"BrightArc University - Loyalty Boost #2","Lift repeat purchase rate from 5% to 10%","Working professionals aged 25-54 considering a career change, Nordics","Your loyalty, rewarded.","Email, Webinar, YouTube, Paid Search, Paid Social (Meta)","$145,000 incl. agency fees","Apr 11, 2026 - 4 week flight","Program enrollment: target +13.6% vs. baseline, by end of quarter.","Title IV compliance review required for any financial-aid messaging."
"Apex Tutoring Q2 2026 - Cross-sell Drive","Attach a second product to 106% of single-product customers","Working professionals aged 30-34 considering a career change, Singapore","You already love ScholarPath. Here's the perfect companion.","YouTube, Webinar","Per-channel budget missing","Feb 23, 2026 - 3 week flight","Attach rate: baseline 4.8%, target 7.0%, within 90 days post-launch.","Outcome claims (placement, salary) must include cohort source citation. Localization required for non-English markets; transcreation, not direct translation. No animated GIFs in email; static hero only."
"Stackr Open Enrollment - Cross-sell Drive","Cross-sell 35,399 eligible customers","Gig workers aged 30-70 in Australia tier-1 cities (EU coverage)","Bundle and save - smarter together.","In-app, Push Notifications, Paid Search","$270,000 (media only)","Mar 21, 2026 - 2 week flight","Attach rate: baseline 1.7%, target 7.6%, over 60 days.","All claims must be reviewed by Compliance and Legal before publication. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. Do not reference unannounced roadmap items."
"AzureTrails v7 - Loyalty Boost","Increase loyalty program enrollment by 8%","Couples aged 18-54 with HHI $100K+, Japan (EU coverage)","Your loyalty, rewarded.","Display, Email, Paid Search","Per-channel budget missing","May 23, 2026 - 10 week flight","Lift engagement","Coordinate with concurrent acquisition offers to avoid loyalty member dilution."
"Cohort Hub - Renewal Drive","Achieve 94% gross renewal rate","Course completers eligible for the next certification, Japan","Stay covered. Stay supported.","Paid Search, YouTube, Paid Social (Meta), Email, Webinar","$57,000 (media only)","next quarter","Gross renewal rate: baseline 83.0%, target 88.3%, by end of quarter.","Title IV compliance review required for any financial-aid messaging. Localization required for non-English markets; transcreation, not direct translation. Subject lines under 50 characters; no emojis in B2B sends."
"Cohort Hub v6 - Loyalty Boost","Build awareness and momentum","general consumers","Status, perks, and points - on us.","Paid Search, Email","$110,000 excl. production","this year","Program enrollment: target +22.2% vs. baseline, over 30 days.","Outcome claims (placement, salary) must include cohort source citation. Members-only pricing must remain materially better than public promo. Subject lines under 50 characters; no emojis in B2B sends."
"DevForge Live v7 - Awareness","Lift unaided brand awareness by 23 points","Speakers, sponsors, and partner network contacts, Mexico","The brand professionals trust.","PR, Organic Social, Webinar","$8,500","Mar 11, 2026 - 10 week flight","Aided awareness lift: baseline 24%, target +7 pts, over 30 days.","Mobile-first creative required; desktop is secondary."
"ScholarPath v3 - Cross-sell Drive","Attach a second product to 17% of single-product customers","Course completers eligible for the next certification, Australia","You already love LearnRise Academy. Here's the perfect companion.","digital","$145,000","Jul 2, 2027 - 3 week flight","ROAS target 3.8","FERPA-aligned data handling; no student PII in third-party platforms. Maintain accessibility: WCAG 2.1 AA for all digital assets."
"AuroraWear Q2 2026 - Loyalty Boost","Lift repeat purchase rate from 5% to 8%","Women aged 45-70 interested in sustainable fashion, France","Your loyalty, rewarded.","Influencer, Email","$36,000 excl. production","Jan 15, 2026 - 10 week flight","Program enrollment: target +6.2% vs. baseline, over 60 days.","Coordinate with concurrent acquisition offers to avoid loyalty member dilution. Subject lines under 50 characters; no emojis in B2B sends."
"Apex Workspace 2027 - Awareness","Lift unaided brand awareness by 17 points","lapsed buyers","Insight Cloud: built for what's next.","performance marketing","Per-channel budget missing","by end of fiscal year","Reduce CPA","Mobile-first creative required; desktop is secondary."
"Anchor National Spring - App Adoption","Drive 70,418 new app installs","Small business banking customers with <$5M annual revenue, Canada","Your account, in your pocket.","Email, Programmatic","$455,000 excl. production","Jul 20, 2026 - 2 week flight","Installs: target 51,932; D7 retention >= 28%; over 30 days.","Reg Z and UDAAP review required prior to launch. Use approved product photography only; lifestyle imagery requires brand review. Subject lines under 50 characters; no emojis in B2B sends."
"DevForge Live 2027 - App Adoption","Lift weekly active users by 16%","Past attendees of last 2 editions, Germany","Your account, in your pocket.","Webinar, Paid Social (LinkedIn), PR, Organic Social, Email","$99,000","Oct 26, 2026 - 3 week flight","Installs: target 167,127; D7 retention >= 27%; over 60 days.","CEO and executive quotes require Comms approval."
"Stackr NA - Renewal Drive","Renew 8,382 expiring contracts this cycle","Gig workers aged 45-70 in Singapore tier-1 cities","Renew today and lock in your current rate.","Paid Search, Email, Paid Social (Meta)","$470,000 total","Oct 21, 2026 - 8 week flight","Gross renewal rate: baseline 81.6%, target 85.9%, over 60 days.","All claims must be reviewed by Compliance and Legal before publication. EU audiences: GDPR consent required; honor cookie banner state and DSAR within 30 days. All copy must use inclusive language per brand DEI guidelines."
"MintRail 2026 - Upsell Wave","Lift ARPU by 3% across the existing book of business","Gig workers aged 40-44 in Canada tier-1 cities (EU coverage)","You're getting more from Vaulted than ever - here's how to get even more.","Email, Paid Search","$325,000","Mar 6, 2026 - 2 week flight","ARPU lift: baseline $78, target +11.9%, over 30 days.","All claims must be reviewed by Compliance and Legal before publication. Use approved product photography only; lifestyle imagery requires brand review."
"ZestMart Black Friday - Seasonal Promo","Lift conversion rate by 33% vs. prior season baseline","First-time site visitors from paid social, Canada (EU coverage)","Our biggest Spring event yet.","Display, Paid Social (Meta)","$445,000 incl. agency fees","Mar 9, 2026 - 3 week flight","Incremental revenue: target $1,969,635, ROAS >= 7.7, by end of quarter.","DACH market: double opt-in for email; no purchased lists. Do not run alongside sitewide free-shipping promo without finance sign-off. Use approved product photography only; lifestyle imagery requires brand review. Video assets capped at 15s for social, 30s for CTV."
"RetailNext World - Trial Conversion Push #3","Convert 15,525 active trial users to paid plans","small business owners","Your trial ends soon. Unlock the full GrowthSummit experience.","online","Use available Q-end funds","Q3 launch","Improve CTR vs. last campaign","Adhere to brand voice guidelines v3.2; primary palette only."
"Forge Platform - App Adoption","Lift weekly active users by 7%","DevOps leads at Series B-D startups in APAC","Faster, easier, in-app exclusive perks.","Email, Webinar, Paid Search","$69,000 excl. production","Oct 12, 2027 - 8 week flight","Installs: target 103,729; D7 retention >= 42%; over the campaign flight.","Do not reference unannounced roadmap items."
"GlideFi v8 - Lead Gen","Deliver 648 SQLs to the sales team","Active app users with 30+ day inactivity, France","See why leading teams choose Stackr - book a 20-minute demo.","In-app, Influencer, Email","$110,000","Mar 3, 2027 - 6 week flight","MQLs: target 7,661, CPL <= $278, measured over 60 days.","No misleading earnings or returns language. Adhere to brand voice guidelines v3.2; primary palette only. No animated GIFs in email; static hero only."
"Lumio Wallet 2027 - Renewal Drive #2","Renew 3,602 expiring contracts this cycle","general consumers","Stay covered. Stay supported.","In-app, Influencer, Push Notifications, Email","$54,000 total","Jun 10, 2026 - 4 week flight","Baseline 2.0%, improve over time","All claims must be reviewed by Compliance and Legal before publication. Localization required for non-English markets; transcreation, not direct translation."
"Velocity Wireless - Renewal Drive #3","Renew 14,910 expiring contracts this cycle","prospects in target markets","Renew today and lock in your current rate.","Direct Mail, Display, OOH, Email, SMS","$510,000 (media only)","Nov 21, 2027 - 4 week flight","Gross renewal rate: baseline 82.4%, target 88.7%, by end of quarter.","Use approved product photography only; lifestyle imagery requires brand review."
"LearnRise Academy - Loyalty Boost","Increase loyalty program enrollment by 9%","High school juniors and parents in Benelux","Status, perks, and points - on us.","Webinar, Email, YouTube","$58,000","Sep 7, 2026 - 12 week flight","Improve CTR vs. last campaign","Outcome claims (placement, salary) must include cohort source citation. Maintain accessibility: WCAG 2.1 AA for all digital assets."
"BoxBloom - Upsell Wave","Upsell 12,795 customers to a higher tier","Loyalty members aged 45-34 in Benelux","You're getting more from MarketRise than ever - here's how to get even more.","performance marketing","$29,000 incl. agency fees","May 28, 2027 - 10 week flight","ARPU lift: baseline $28, target +6.9%, over the campaign flight.","Exclude high-AOV segments from blanket discounts. Hero creative must feature flagship product, not bundled SKUs."
"WrapNorth Q1 2027 - Event Reg Push","Hit 40% RSVP-to-attend conversion","First-time site visitors from paid social, France","Register now - early bird pricing ends soon.","Display, Paid Search, Affiliate, Push Notifications","$320,000","next quarter","Conversion rate target 4.3%","Do not run alongside sitewide free-shipping promo without finance sign-off. Localization required for non-English markets; transcreation, not direct translation. No animated GIFs in email; static hero only."
"Orbit Connect 2027 - App Adoption #3","Drive 414,752 new app installs","Prepaid customers aged 25-70 with 6+ months tenure, Australia","Get more done on the go - download the app.","SMS, Display","Use available Q-end funds","Feb 2, 2026 - 6 week flight","ROAS target 7.8","Tone: confident, helpful, never alarmist."
"Nimbus Mobile Q2 2026 - Retention Sprint #2","Improve 90-day retention by 9 percentage points","Single-line subscribers eligible for family-plan upgrade, Mexico","Thank you for being a customer - here's something special.","OOH, Direct Mail, Paid Search","To be confirmed by CMO","Aug 16, 2026 - 3 week flight","Monthly churn: baseline 2.2%, target 1.3%, over 60 days.","All copy must use inclusive language per brand DEI guidelines."
"Wayfare MENA - Seasonal Promo","Drive $4,469,040 in incremental revenue during the promo window","Loyalty members with 1+ booking in last 24 months, Brazil","Summer is here - shop the edit.","Paid Social (Meta), Paid Search, Influencer, Display, Connected TV","$125,000 total","Feb 18, 2026 - 12 week flight","Incremental revenue: target $786,705, ROAS >= 7.0, by end of quarter.","Suppress recently booked travelers to avoid post-purchase regret refunds. No competitor logos or comparison claims in paid creative."
"BoxBloom - App Adoption","Drive 362,751 new app installs","Loyalty members aged 25-44 in Brazil","Your account, in your pocket.","Email, Affiliate","$245,000 incl. agency fees","Aug 28, 2027 - 12 week flight","Installs: target 90,410; D7 retention >= 37%; over 30 days.","Adhere to brand voice guidelines v3.2; primary palette only. Landing page must load under 2.5s on 4G."
"BlueCrest Bank 2027 - Retention Sprint","Improve 90-day retention by 2 percentage points","millennials","Thank you for being a customer - here's something special.","paid media","Pending finance approval","Aug 5, 2027 - 6 week flight","Monthly churn: baseline 0.9%, target 0.5%, over 60 days.","No targeting on protected class attributes (ECOA/Reg B)."
"Hearth&Home Box 2027 - Renewal Drive","Renew 19,774 expiring contracts this cycle","digital-first audience","Don't lose access - renew before Jun 16.","paid media","Pending finance approval","Jan 10, 2026 - 4 week flight","Gross renewal rate: baseline 81.5%, target 88.8%, over 30 days.","DACH market: double opt-in for email; no purchased lists. Landing page must load under 2.5s on 4G."
